"name","nsa_temp_raw","nsa_ds","x"
"observed",-0.675,-0.675,0.000332005312084993
"observed",-0.333,-0.333,0.000664010624169987
"observed",-0.591,-0.591,0.00099601593625498
"observed",-0.589,-0.589,0.00132802124833997
"observed",-0.508,-0.508,0.00166002656042497
"observed",-0.344,-0.344,0.00199203187250996
"observed",-0.16,-0.16,0.00232403718459495
"observed",-0.208,-0.208,0.00265604249667995
"observed",-0.385,-0.385,0.00298804780876494
"observed",-0.533,-0.533,0.00332005312084993
"observed",-0.283,-0.283,0.00365205843293493
"observed",-0.404,-0.404,0.00398406374501992
"observed",-0.201,-0.201,0.00431606905710491
"observed",-0.469,-0.469,0.00464807436918991
"observed",-0.646,-0.646,0.0049800796812749
"observed",-0.542,-0.542,0.00531208499335989
"observed",-0.198,-0.198,0.00564409030544489
"observed",-0.137,-0.137,0.00597609561752988
"observed",-0.097,-0.097,0.00630810092961487
"observed",-0.102,-0.102,0.00664010624169987
"observed",-0.091,-0.091,0.00697211155378486
"observed",-0.008,-0.008,0.00730411686586985
"observed",-0.082,-0.082,0.00763612217795485
"observed",-0.228,-0.228,0.00796812749003984
"observed",-0.375,-0.375,0.00830013280212483
"observed",-0.477,-0.477,0.00863213811420983
"observed",-0.56,-0.56,0.00896414342629482
"observed",-0.585,-0.585,0.00929614873837981
"observed",-0.127,-0.127,0.00962815405046481
"observed",-0.084,-0.084,0.0099601593625498
"observed",0.005,0.005,0.0102921646746348
"observed",-0.136,-0.136,0.0106241699867198
"observed",-0.002,-0.002,0.0109561752988048
"observed",-0.172,-0.172,0.0112881806108898
"observed",-0.305,-0.305,0.0116201859229748
"observed",0.065,0.065,0.0119521912350598
"observed",-0.233,-0.233,0.0122841965471448
"observed",-0.404,-0.404,0.0126162018592297
"observed",-0.28,-0.28,0.0129482071713147
"observed",-0.386,-0.386,0.0132802124833997
"observed",-0.268,-0.268,0.0136122177954847
"observed",-0.142,-0.142,0.0139442231075697
"observed",-0.083,-0.083,0.0142762284196547
